fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-07-19,929,296,807,244,0.3186221743810549,0.3023543990086741
2020-07-20,4047,1391,3471,1148,0.34371139115394117,0.3307404206280611
2020-07-21,3755,1223,3195,1040,0.3256990679094541,0.325508607198748
2020-07-22,4179,1464,3678,1318,0.3503230437903805,0.3583469276780859
2020-07-23,3768,1265,3258,1106,0.3357218683651805,0.33947206875383673
2020-07-24,3749,1093,3256,951,0.29154441184315816,0.29207616707616707
2020-07-25,1352,433,1187,380,0.3202662721893491,0.3201347935973041
2020-07-26,912,301,784,250,0.3300438596491228,0.31887755102040816
2020-07-27,3560,1272,2964,1072,0.35730337078651686,0.3616734143049933
2020-07-28,3628,1126,3078,934,0.3103638368246968,0.30344379467186483
2020-07-29,3764,1131,3360,1003,0.3004782146652497,0.29851190476190476
2020-07-30,3894,1248,3392,1079,0.3204930662557781,0.31810141509433965
2020-07-31,3758,1184,3258,1006,0.3150612027674295,0.3087783916513198
2020-08-01,1487,444,1295,396,0.29858776059179554,0.30579150579150577
2020-08-02,820,272,684,227,0.33170731707317075,0.33187134502923976
2020-08-03,3077,1017,2642,861,0.330516737081573,0.325889477668433
2020-08-04,3832,1226,3295,1041,0.319937369519833,0.3159332321699545
2020-08-05,3691,1245,3207,1057,0.33730696288268763,0.32959151855316493
2020-08-06,3453,1019,2974,882,0.29510570518389806,0.2965702757229321
2020-08-07,3743,1096,3212,963,0.2928132514026182,0.299813200498132
2020-08-08,1385,396,1217,349,0.28592057761732853,0.2867707477403451
2020-08-09,722,207,588,176,0.2867036011080332,0.29931972789115646
2020-08-10,3499,1102,2931,916,0.3149471277507859,0.31252132378027975
2020-08-11,3925,1270,3467,1113,0.3235668789808917,0.3210268243438131
2020-08-12,3890,1165,3331,1005,0.2994858611825193,0.30171119783848693
2020-08-13,3859,1070,3346,951,0.27727390515677636,0.28421996413628214
2020-08-14,4124,1221,3510,1035,0.2960717749757517,0.2948717948717949
2020-08-15,1499,440,1310,386,0.2935290193462308,0.29465648854961835
2020-08-16,741,216,620,175,0.291497975708502,0.28225806451612906
2020-08-17,3584,1164,3075,987,0.3247767857142857,0.32097560975609757
2020-08-18,3910,1353,3453,1194,0.34603580562659847,0.34578627280625546
2020-08-19,4008,1262,3534,1119,0.3148702594810379,0.3166383701188455
2020-08-20,3229,957,2782,832,0.2963765871786931,0.29906542056074764
2020-08-21,4050,1228,3519,1053,0.30320987654320986,0.29923273657289
2020-08-22,1473,432,1276,385,0.29327902240325865,0.3017241379310345
2020-08-23,737,255,615,217,0.34599728629579374,0.35284552845528455
2020-08-24,3940,1370,3274,1132,0.3477157360406091,0.34575442883323154
2020-08-25,3644,1321,2981,1065,0.36251372118551045,0.3572626635357263
2020-08-26,5137,1631,4551,1444,0.3175004866653689,0.3172929026587563
2020-08-27,5143,1444,4530,1253,0.2807699786117052,0.27660044150110374
2020-08-28,5197,1384,4585,1212,0.26630748508755053,0.264340239912759
2020-08-29,2111,542,1826,483,0.2567503552818569,0.26451259583789705
2020-08-30,920,279,721,240,0.3032608695652174,0.332871012482663
2020-08-31,4157,1386,3475,1105,0.33341351936492664,0.31798561151079136
2020-09-01,5165,1774,4560,1530,0.34346563407550823,0.3355263157894737
2020-09-02,5373,1759,4705,1508,0.3273776288851666,0.32051009564293303
2020-09-03,5521,1545,4760,1324,0.2798406085854012,0.2781512605042017
2020-09-04,5319,1479,4697,1266,0.27805978567399886,0.269533744943581
2020-09-05,2000,549,1739,466,0.2745,0.2679700977573318
2020-09-06,1145,335,952,285,0.2925764192139738,0.29936974789915966
2020-09-07,4018,1251,3381,1038,0.3113489298158288,0.3070097604259095
2020-09-08,4997,1621,4384,1411,0.32439463678206926,0.3218521897810219
2020-09-09,5106,1450,4451,1272,0.2839796318057188,0.28577847674679846
2020-09-10,5514,1381,4804,1206,0.2504533913674284,0.25104079933388845
2020-09-11,4918,1274,4357,1135,0.2590483936559577,0.26050034427358276
2020-09-12,2125,674,1899,609,0.3171764705882353,0.320695102685624
2020-09-13,706,232,575,194,0.3286118980169972,0.3373913043478261
2020-09-14,4184,1254,3536,1041,0.2997131931166348,0.2944004524886878
2020-09-15,3169,941,2720,810,0.2969390975071,0.2977941176470588
2020-09-16,578,194,479,161,0.3356401384083045,0.33611691022964507
2020-09-17,4446,1496,3827,1279,0.33648223121907334,0.33420433760125423
2020-09-18,4536,1380,3970,1203,0.30423280423280424,0.3030226700251889
2020-09-19,1913,614,1672,552,0.32096184004181916,0.33014354066985646
2020-09-20,795,285,657,243,0.3584905660377358,0.3698630136986301
2020-09-21,3604,1197,3097,1017,0.3321309655937847,0.3283823054568938
2020-09-22,4575,1447,3996,1287,0.3162841530054645,0.32207207207207206
2020-09-23,4405,1420,3782,1216,0.322360953461975,0.32152300370174514
2020-09-24,4223,1264,3722,1111,0.2993132843949799,0.2984954325631381
2020-09-25,4381,1298,3758,1134,0.2962793882675188,0.30175625332623734
2020-09-26,2102,703,1847,618,0.33444338725023787,0.3345966432051976
2020-09-27,860,295,706,261,0.3430232558139535,0.3696883852691218
2020-09-28,4304,1408,3669,1195,0.3271375464684015,0.32570182611065684
2020-09-29,4446,1417,3868,1268,0.31871345029239767,0.327817993795243
2020-09-30,4367,1356,3782,1209,0.3105106480421342,0.319672131147541
2020-10-01,3990,1292,3497,1147,0.3238095238095238,0.3279954246496997
2020-10-02,4377,1161,3780,1012,0.26525017135023987,0.2677248677248677
2020-10-03,1781,561,1583,502,0.3149915777653004,0.31711939355653823
2020-10-04,749,282,637,243,0.376502002670227,0.3814756671899529
2020-10-05,3766,1299,3155,1096,0.34492830589484863,0.3473851030110935
2020-10-06,4477,1382,3942,1214,0.3086888541433996,0.30796549974632165
2020-10-07,4789,1371,4162,1203,0.2862810607642514,0.28904372897645364
2020-10-08,4492,1272,3944,1141,0.2831700801424755,0.2893002028397566
2020-10-09,4485,1297,3969,1170,0.28918617614269787,0.2947845804988662
2020-10-10,1601,484,1388,422,0.3023110555902561,0.30403458213256485
2020-10-11,861,286,737,261,0.3321718931475029,0.3541383989145183
2020-10-12,4504,1404,3839,1209,0.3117229129662522,0.3149257619171659
2020-10-13,5621,1745,4852,1471,0.3104429816758584,0.3031739488870569
2020-10-14,4991,1370,4369,1200,0.2744940893608495,0.2746623941405356
2020-10-15,4430,1410,3888,1261,0.3182844243792325,0.3243312757201646
2020-10-16,5512,1694,4883,1493,0.3073294629898404,0.3057546590210936
2020-10-17,2164,666,1922,592,0.3077634011090573,0.30801248699271594
2020-10-18,1121,373,974,309,0.3327386262265834,0.31724845995893225
2020-10-19,6629,2153,5963,1870,0.32478503545029414,0.31360053664262955
2020-10-20,7312,2234,6489,1973,0.30552516411378555,0.3040530127908769
2020-10-21,7120,1931,6277,1720,0.27120786516853934,0.27401624980086026
2020-10-22,7644,1941,6734,1713,0.25392464678178966,0.25438075438075436
2020-10-23,7308,1975,6506,1755,0.27025177887246854,0.2697509990777744
2020-10-24,2384,717,2102,623,0.30075503355704697,0.29638439581351095
2020-10-25,1556,491,1337,417,0.31555269922879176,0.3118922961854899
2020-10-26,7612,2249,6657,1944,0.29545454545454547,0.29202343397926994
2020-10-27,8187,2180,7270,1926,0.26627580310247956,0.26492434662998626
2020-10-28,8105,2147,7191,1937,0.264898210980876,0.2693644833820053
2020-10-29,7794,1869,6770,1601,0.23979984603541185,0.2364844903988183
2020-10-30,6759,1788,5816,1542,0.26453617399023527,0.26513067400275103
2020-10-31,2165,739,1920,651,0.34133949191685914,0.3390625
2020-11-01,994,389,825,320,0.39134808853118713,0.3878787878787879
2020-11-02,2018,706,1757,627,0.34985133795837464,0.35685828116107
2020-11-03,6964,2410,6064,2087,0.34606547960941986,0.3441622691292876
2020-11-04,6995,2222,6145,1980,0.3176554681915654,0.322213181448332
2020-11-05,6771,2084,6037,1889,0.3077831930290947,0.31290376014576776
2020-11-06,6469,1936,5736,1723,0.2992734580306075,0.30038354253835425
2020-11-07,2608,891,2288,787,0.3416411042944785,0.34396853146853146
2020-11-08,1034,441,821,348,0.42649903288201163,0.4238733252131547
2020-11-09,7302,2610,6383,2286,0.3574363188167625,0.3581388062039793
2020-11-10,7935,2708,6963,2333,0.3412728418399496,0.33505672842165735
2020-11-11,6887,2107,5979,1843,0.30593872513431103,0.3082455260076936
2020-11-12,6601,1858,5766,1630,0.2814725041660355,0.2826916406520985
2020-11-13,6600,1926,5837,1695,0.2918181818181818,0.2903888984067158
2020-11-14,2125,693,1847,586,0.3261176470588235,0.31727125067677314
2020-11-15,1020,366,888,325,0.3588235294117647,0.36599099099099097
2020-11-16,822,342,701,288,0.41605839416058393,0.4108416547788873
2020-11-17,6644,1999,5811,1726,0.30087296809151115,0.2970228876269145
2020-11-18,6571,2225,5712,1896,0.33860903971998174,0.3319327731092437
2020-11-19,6943,2180,6080,1928,0.3139853089442604,0.3171052631578947
2020-11-20,6384,1905,5545,1634,0.2984022556390977,0.2946798917944094
2020-11-21,3742,1215,3338,1072,0.32469267771245325,0.3211503894547633
2020-11-22,2486,1493,2077,1230,0.6005631536604988,0.5922002888781897
2020-11-23,8855,3406,7650,2841,0.3846414455110107,0.37137254901960787
2020-11-24,10244,3130,8865,2762,0.30554470909800857,0.3115623237450649
2020-11-25,10378,2596,8967,2260,0.2501445365195606,0.25203524032563845
2020-11-26,10570,2775,9111,2415,0.2625354777672658,0.2650642081000988
2020-11-27,10317,2758,8970,2400,0.267325772996026,0.26755852842809363
2020-11-28,4214,1050,3693,887,0.24916943521594684,0.24018413214189005
2020-11-29,2419,735,2064,631,0.30384456386936753,0.3057170542635659
2020-11-30,11574,3227,10008,2751,0.2788145844133402,0.2748800959232614
2020-12-01,12979,3424,11223,2973,0.2638107712458587,0.2649024325046779
2020-12-02,14524,3645,12493,3129,0.25096392178463234,0.25046025774433683
2020-12-03,14891,3749,12930,3256,0.25176280975085624,0.25181747873163185
2020-12-04,15624,3893,13372,3312,0.2491679467485919,0.24768172300329047
2020-12-05,5456,1472,4826,1289,0.2697947214076246,0.26709490261085783
2020-12-06,3403,938,2878,774,0.275639141933588,0.2689367616400278
2020-12-07,16414,4715,14054,4014,0.28725478250274156,0.28561263697168066
2020-12-08,18026,4857,15408,4092,0.2694441362476423,0.26557632398753894
2020-12-09,17078,4594,14614,3872,0.2690010539875864,0.2649514164499795
2020-12-10,17741,4549,15313,3896,0.2564117017079082,0.2544243453274995
2020-12-11,17024,4375,14615,3754,0.25699013157894735,0.2568593910366062
2020-12-12,5709,1737,4987,1512,0.3042564372044141,0.3031882895528374
2020-12-13,3334,1040,2739,854,0.3119376124775045,0.3117926250456371
2020-12-14,17390,5105,14539,4275,0.2935595169637723,0.2940367287984043
2020-12-15,17154,5025,14587,4254,0.2929345925148653,0.29162953314595186
2020-12-16,16645,4933,13924,4131,0.2963652748573145,0.29668198793450157
2020-12-17,16884,4654,14185,3885,0.2756455816157309,0.2738808600634473
2020-12-18,17508,4937,15001,4111,0.2819853781128627,0.2740483967735484
2020-12-19,6761,1761,5950,1516,0.26046442833900313,0.25478991596638656
2020-12-20,3947,1050,3227,858,0.2660248289840385,0.2658816237991943
2020-12-21,18338,5665,15719,4826,0.3089213654706075,0.3070169858133469
2020-12-22,17416,4913,15016,4167,0.28209692237023426,0.2775039957378796
2020-12-23,16729,4667,14527,3992,0.2789766274134736,0.2747986507881875
2020-12-24,12972,3456,11412,2990,0.2664199814986124,0.2620049071153172
2020-12-25,2561,840,2082,661,0.3279968762202265,0.3174831892411143
2020-12-26,5453,1594,4660,1378,0.2923161562442692,0.2957081545064378
2020-12-27,3732,1063,3171,893,0.28483386923901394,0.2816146326080101
2020-12-28,16169,4451,14058,3916,0.2752798565155545,0.27856025039123633
2020-12-29,17442,4693,15222,4054,0.2690631808278867,0.26632505584023125
2020-12-30,16470,4208,14453,3641,0.2554948391013965,0.251920016605549
2020-12-31,12834,3436,11433,2985,0.2677263518778245,0.26108632904749407
2021-01-01,2828,812,2474,704,0.2871287128712871,0.28455941794664513
2021-01-02,4696,1566,3986,1331,0.33347529812606475,0.33391871550426494
2021-01-03,4290,1328,3507,1091,0.3095571095571096,0.3110921015112632
2021-01-04,15803,4545,13771,3929,0.2876036195659052,0.2853097088083654
2021-01-05,18084,5128,15613,4488,0.2835655828356558,0.2874527637225389
2021-01-06,17741,4959,15458,4279,0.27952201116058845,0.27681459438478456
2021-01-07,20145,5334,17165,4615,0.26478034251675353,0.26886105447130787
2021-01-08,18516,4876,15651,4147,0.2633398142147332,0.2649670947543288
2021-01-09,7304,2215,6359,1930,0.30325848849945236,0.303506840698223
2021-01-10,5333,1415,4343,1208,0.2653290830676917,0.27814874510706883
2021-01-11,19948,5462,17094,4771,0.27381191096851815,0.2791037791037791
2021-01-12,22127,6229,18934,5357,0.2815112758168753,0.28293017851484104
2021-01-13,21975,5783,18786,4993,0.2631626848691695,0.2657830299158948
2021-01-14,27154,7704,23444,6849,0.2837151064299919,0.2921429790138202
2021-01-15,24781,7176,21539,6330,0.28957669182034623,0.29388551000510704
2021-01-16,10280,3029,9035,2726,0.2946498054474708,0.3017155506364139
2021-01-17,8336,2395,7114,2105,0.2873080614203455,0.29589541748664605
2021-01-18,24707,7318,21451,6319,0.2961913627716841,0.29457834133606825
2021-01-19,26869,7351,23114,6357,0.27358666120808367,0.2750281214848144
2021-01-20,26152,7380,22612,6433,0.2821963903334353,0.2844949584291527
2021-01-21,26525,6616,22672,5720,0.24942507068803016,0.25229357798165136
2021-01-22,25240,5827,21478,4969,0.2308637083993661,0.2313530123847658
2021-01-23,9134,2296,7735,1990,0.2513685132472082,0.2572721396250808
2021-01-24,7160,1683,6096,1502,0.2350558659217877,0.24639107611548555
2021-01-25,23894,5663,20474,4820,0.23700510588432241,0.23542053335938262
2021-01-26,23643,4921,20236,4301,0.2081377151799687,0.2125420043486855
2021-01-27,26716,5570,23074,4901,0.20848929480461148,0.2124035711190084
2021-01-28,24343,5011,20867,4360,0.2058497309288091,0.20894234916375137
2021-01-29,21827,4271,18893,3666,0.19567508132129932,0.1940401206796168
2021-01-30,8486,1409,7140,1201,0.166038180532642,0.16820728291316528
2021-01-31,6047,1007,5100,858,0.16652885728460393,0.16823529411764707
2021-02-01,5304,1055,4569,897,0.19890648567119154,0.1963230466185161
2021-02-02,20795,4234,18102,3678,0.20360663621062755,0.20318196884322173
2021-02-03,23112,4019,19977,3431,0.17389235029421946,0.17174750963608149
2021-02-04,19795,3393,16931,2953,0.17140692093963122,0.17441379717677633
2021-02-05,19479,3217,16977,2869,0.16515221520611942,0.16899334393591328
2021-02-06,6493,1072,5622,914,0.16510087786847374,0.16257559587335468
2021-02-07,4569,663,3960,565,0.14510833880499016,0.14267676767676768
2021-02-08,18852,3419,16292,2971,0.18136006789730533,0.18235944021605696
2021-02-09,20027,3405,17225,2896,0.17002047236231088,0.16812772133526852
2021-02-10,19548,3179,16651,2692,0.16262533251483527,0.16167197165335415
2021-02-11,17739,2681,15012,2260,0.15113591521506287,0.15054622968292034
2021-02-12,18157,2805,15589,2466,0.15448587321694113,0.15818846622618513
2021-02-13,5581,957,4889,823,0.17147464612076688,0.168337083248108
2021-02-14,3757,480,3344,427,0.12776151184455684,0.1276913875598086
2021-02-15,18223,2845,15654,2474,0.15612138506283268,0.15804267279928452
2021-02-16,17278,2642,15039,2313,0.1529112165759926,0.1538001196888091
2021-02-17,17289,2535,14803,2214,0.14662502169009198,0.14956427751131526
2021-02-18,16873,2278,14349,1980,0.13500859361109466,0.13798871001463517
2021-02-19,15777,2382,13737,2093,0.15097927362616467,0.1523622333842906
2021-02-20,5233,831,4461,704,0.1587999235620103,0.15781214974221028
2021-02-21,3578,488,3008,421,0.1363890441587479,0.13996010638297873
2021-02-22,17163,2759,14803,2387,0.1607527821476432,0.16125109775045599
2021-02-23,16765,2569,14405,2287,0.15323590814196242,0.15876431794515794
2021-02-24,16148,2357,13836,2094,0.14596234827842458,0.1513443191673894
2021-02-25,14800,2216,12582,1974,0.14972972972972973,0.1568907963757749
2021-02-26,15082,2073,12906,1816,0.13744861424214294,0.14070974740430808
2021-02-27,4927,780,4081,683,0.158311345646438,0.1673609409458466
2021-02-28,4097,510,3444,445,0.12448132780082988,0.1292102206736353
2021-03-01,16514,2672,13912,2315,0.16180210730289452,0.16640310523289248
2021-03-02,14876,2178,12694,1891,0.14641032535627857,0.14896801638569404
2021-03-03,15961,2335,13525,2047,0.14629409184888165,0.15134935304990757
2021-03-04,13388,2053,11428,1833,0.15334628025097102,0.1603955197759888
2021-03-05,11543,1795,9823,1596,0.15550550116953998,0.16247582205029013
2021-03-06,5648,719,4665,644,0.12730169971671387,0.13804930332261522
2021-03-07,4000,507,3283,424,0.12675,0.12915016752969843
2021-03-08,14765,2388,12818,2056,0.1617338300033864,0.16039943828990483
2021-03-09,13656,2021,12003,1779,0.14799355594610428,0.14821294676330918
2021-03-10,12277,1759,10424,1553,0.1432760446363118,0.14898311588641597
2021-03-11,12104,1687,10349,1493,0.13937541308658294,0.14426514639095564
2021-03-12,12154,1625,10396,1446,0.13370083922988316,0.139091958445556
2021-03-13,3900,576,3325,510,0.1476923076923077,0.15338345864661654
2021-03-14,2096,320,1790,277,0.15267175572519084,0.1547486033519553
2021-03-15,2634,352,2295,316,0.13363705391040243,0.13769063180827887
2021-03-16,13733,2016,11850,1771,0.14679967960387388,0.14945147679324894
2021-03-17,13040,1683,11248,1475,0.12906441717791411,0.1311344238975818
2021-03-18,12105,1479,10419,1319,0.12218091697645601,0.12659564257606296
2021-03-19,10905,1236,9318,1095,0.11334250343878954,0.11751448808757244
2021-03-20,3418,507,2897,408,0.1483323581041545,0.14083534691059718
2021-03-21,2393,319,2108,268,0.13330547430004178,0.127134724857685
2021-03-22,14108,1681,12094,1474,0.11915225404026085,0.12187861749627915
2021-03-23,11900,1535,10137,1381,0.12899159663865548,0.13623359968432475
2021-03-24,12311,1296,10389,1126,0.10527170822841361,0.1083838675522187
2021-03-25,10935,1152,9406,1031,0.10534979423868313,0.1096108866680842
2021-03-26,9145,1086,7745,978,0.11875341716785129,0.1262750161394448
2021-03-27,3802,438,3216,376,0.11520252498684903,0.11691542288557213
2021-03-28,2038,253,1736,226,0.12414131501472031,0.13018433179723501
2021-03-29,11244,1366,9701,1162,0.12148701529704732,0.11978146582826513
2021-03-30,11575,1238,9959,1086,0.10695464362850972,0.1090470930816347
2021-03-31,9630,1184,8343,1034,0.12294911734164071,0.12393623396859643
2021-04-01,8670,700,7405,604,0.08073817762399077,0.08156650911546252
2021-04-02,5832,558,4927,479,0.09567901234567901,0.09721940328800487
2021-04-03,1504,217,1335,190,0.14428191489361702,0.14232209737827714
2021-04-04,1537,240,1322,189,0.1561483409238777,0.14296520423600606
2021-04-05,10080,1198,8589,1039,0.11884920634920634,0.12096868087088136
2021-04-06,9678,1204,8307,1053,0.12440586898119446,0.1267605633802817
2021-04-07,10163,1159,8750,1031,0.11404112958772016,0.11782857142857144
2021-04-08,10934,1040,9308,916,0.09511615145417962,0.09840996991834981
2021-04-09,9912,1031,8381,901,0.10401533494753834,0.1075050709939148
2021-04-10,3660,458,3153,387,0.1251366120218579,0.12274024738344434
2021-04-11,2833,242,2356,191,0.08542181433109777,0.08106960950764007
2021-04-12,11467,1204,9535,1047,0.10499694776314641,0.10980597797587835
2021-04-13,12887,1179,10863,1010,0.09148754558857763,0.09297615759918991
2021-04-14,10019,832,8650,754,0.08304221978241341,0.08716763005780347
2021-04-15,10483,883,9010,788,0.08423161308785652,0.0874583795782464
2021-04-16,9446,883,8212,771,0.09347872115181029,0.09388699464198734
2021-04-17,3594,320,3168,276,0.08903728436282693,0.08712121212121213
2021-04-18,2295,187,1964,167,0.08148148148148149,0.08503054989816701
2021-04-19,11306,951,9812,842,0.08411462940031841,0.0858132898491643
2021-04-20,11865,1083,10330,940,0.09127686472819216,0.0909970958373669
2021-04-21,11084,772,9536,676,0.06964994586791771,0.07088926174496644
2021-04-22,10531,961,9233,857,0.09125439179565094,0.09281923535145672
2021-04-23,10111,691,8761,606,0.068341410345168635,0.06917018605182057
2021-04-24,3193,256,2765,206,0.08017538365173818,0.07450271247739602
2021-04-25,2674,163,2331,140,0.06095736724008975,0.06006006006006006
2021-04-26,9651,811,8287,706,0.08403274272096156,0.08519367684324847
2021-04-27,9171,701,7955,635,0.07643659361029331,0.0798240100565682
2021-04-28,9545,764,8185,663,0.08004190675746464,0.08100183262064753
2021-04-29,8175,653,7103,567,0.07987767584097859,0.07982542587639026
2021-04-30,7119,491,6123,446,0.06897036100575923,0.07284011105667157
2021-05-01,2140,170,1841,141,0.0794392523364486,0.07658881042911461
